iter	Passed	Remaining
0	2	2744
1	5	2768
2	8	2680
3	10	2595
4	12	2576
5	16	2660
6	18	2682
7	21	2673
8	24	2691
9	27	2686
10	29	2679
11	32	2658
12	34	2628
13	37	2607
14	39	2594
15	41	2575
16	44	2565
17	46	2552
18	49	2538
19	51	2538
20	54	2522
21	56	2514
22	58	2505
23	61	2493
24	63	2494
25	66	2481
26	68	2473
27	70	2464
28	73	2454
29	75	2454
30	78	2446
31	80	2437
32	82	2431
33	85	2427
34	88	2426
35	90	2424
36	92	2418
37	95	2414
38	98	2416
39	100	2412
40	102	2407
41	105	2406
42	107	2401
43	110	2403
44	113	2398
45	115	2392
46	117	2389
47	120	2387
48	123	2388
49	125	2386
50	128	2384
51	130	2377
52	133	2376
53	135	2380
54	138	2381
55	141	2379
56	143	2375
57	146	2373
58	148	2372
59	151	2371
60	153	2368
61	156	2364
62	158	2361
63	161	2363
64	163	2358
65	166	2358
66	169	2359
67	172	2357
68	174	2360
69	177	2354
70	179	2349
71	181	2345
72	184	2341
73	187	2341
74	189	2339
75	192	2336
76	194	2332
77	197	2331
78	199	2331
79	202	2328
80	205	2325
81	207	2323
82	210	2322
83	212	2320
84	215	2317
85	217	2313
86	220	2309
87	222	2305
88	225	2304
89	227	2300
90	230	2297
91	232	2295
92	234	2290
93	237	2289
94	240	2287
95	242	2285
96	245	2281
97	247	2280
98	250	2276
99	252	2273
100	254	2269
101	257	2267
102	260	2264
103	262	2262
104	264	2258
105	267	2254
106	269	2250
107	272	2250
108	290	2374
109	293	2376
110	296	2374
111	298	2370
112	301	2367
113	318	2477
114	329	2535
115	340	2593
116	351	2649
117	364	2722
118	371	2752
119	377	2765
120	382	2778
121	388	2793
122	393	2806
123	400	2826
124	405	2837
125	409	2838
126	413	2839
127	418	2848
128	422	2851
129	426	2856
130	431	2861
131	434	2860
132	439	2865
133	441	2855
134	445	2857
135	450	2860
136	454	2862
137	465	2908
138	469	2905
139	472	2905
140	477	2912
141	482	2914
142	487	2921
143	492	2925
144	498	2937
145	509	2979
146	515	2993
147	523	3013
148	529	3025
149	537	3043
150	544	3059
151	551	3079
152	560	3100
153	568	3124
154	575	3134
155	582	3151
156	587	3155
157	593	3160
158	598	3164
159	602	3165
160	607	3167
161	614	3179
162	618	3176
163	623	3176
164	627	3175
165	631	3174
166	636	3173
167	640	3172
168	644	3171
169	648	3168
170	653	3166
171	657	3164
172	661	3160
173	665	3158
174	669	3156
175	674	3158
176	679	3157
177	683	3155
178	687	3155
179	692	3153
180	696	3151
181	700	3149
182	705	3148
183	709	3147
184	713	3145
185	718	3144
186	722	3141
187	726	3138
188	731	3137
189	735	3136
190	740	3134
191	744	3132
192	748	3129
193	752	3126
194	756	3123
195	760	3121
196	765	3118
197	769	3115
198	773	3113
199	777	3110
200	782	3109
201	786	3106
202	790	3103
203	794	3101
204	799	3102
205	804	3100
206	809	3100
207	813	3097
208	817	3095
209	822	3093
210	828	3096
211	832	3096
212	837	3093
213	842	3093
214	846	3091
215	850	3087
216	854	3084
217	860	3086
218	864	3083
219	869	3081
220	873	3079
221	878	3078
222	882	3076
223	886	3072
224	891	3071
225	895	3067
226	900	3066
227	904	3063
228	909	3060
229	914	3060
230	919	3059
231	923	3057
232	928	3055
233	932	3053
234	937	3052
235	941	3049
236	947	3051
237	952	3048
238	956	3045
239	960	3042
240	965	3039
241	969	3036
242	973	3032
243	977	3029
244	982	3027
245	986	3024
246	991	3021
247	995	3018
248	1000	3016
249	1004	3012
250	1008	3010
251	1013	3007
252	1017	3004
253	1022	3001
254	1026	2997
255	1030	2994
256	1034	2991
257	1038	2987
258	1043	2984
259	1047	2980
260	1051	2976
261	1056	2974
262	1060	2971
263	1064	2967
264	1068	2964
265	1073	2962
266	1078	2960
267	1082	2956
268	1086	2953
269	1090	2949
270	1095	2946
271	1099	2942
272	1103	2939
273	1108	2935
274	1112	2932
275	1117	2930
276	1121	2927
277	1125	2924
278	1129	2919
279	1134	2918
280	1139	2914
281	1143	2911
282	1147	2908
283	1152	2905
284	1156	2902
285	1161	2898
286	1166	2897
287	1170	2894
288	1175	2891
289	1179	2888
290	1183	2884
291	1187	2880
292	1192	2877
293	1196	2874
294	1200	2869
295	1205	2867
296	1210	2864
297	1214	2860
298	1218	2856
299	1222	2853
300	1227	2850
301	1232	2848
302	1236	2845
303	1241	2841
304	1245	2838
305	1249	2834
306	1254	2830
307	1258	2827
308	1262	2823
309	1266	2819
310	1271	2816
311	1275	2812
312	1279	2809
313	1284	2806
314	1288	2801
315	1291	2795
316	1294	2789
317	1298	2784
318	1301	2779
319	1305	2773
320	1308	2767
321	1311	2762
322	1315	2756
323	1318	2751
324	1322	2746
325	1325	2741
326	1329	2735
327	1334	2733
328	1338	2728
329	1341	2724
330	1345	2719
331	1348	2714
332	1352	2708
333	1355	2703
334	1359	2698
335	1363	2694
336	1367	2690
337	1371	2685
338	1374	2680
339	1378	2676
340	1380	2668
341	1384	2663
342	1387	2658
343	1391	2654
344	1395	2649
345	1399	2645
346	1403	2641
347	1407	2636
348	1411	2633
349	1415	2627
350	1418	2623
351	1422	2618
352	1426	2615
353	1431	2613
354	1437	2612
355	1443	2611
356	1448	2608
357	1454	2607
358	1458	2604
359	1464	2602
360	1469	2600
361	1474	2598
362	1481	2600
363	1487	2598
364	1492	2596
365	1497	2594
366	1509	2603
367	1515	2602
368	1520	2599
369	1526	2598
370	1533	2600
371	1540	2600
372	1545	2598
373	1552	2598
374	1560	2600
375	1565	2597
376	1569	2594
377	1575	2592
378	1580	2589
379	1585	2587
380	1590	2583
381	1596	2583
382	1601	2579
383	1606	2576
384	1611	2574
385	1615	2570
386	1619	2565
387	1624	2561
388	1629	2558
389	1632	2553
390	1637	2550
391	1643	2548
392	1648	2545
393	1653	2542
394	1658	2539
395	1662	2535
396	1666	2531
397	1670	2527
398	1675	2524
399	1680	2520
400	1684	2516
401	1690	2515
402	1695	2511
403	1700	2508
404	1704	2504
405	1709	2500
406	1713	2496
407	1719	2495
408	1725	2492
409	1729	2488
410	1733	2484
411	1737	2480
412	1742	2475
413	1746	2471
414	1750	2467
415	1754	2463
416	1758	2459
417	1763	2454
418	1767	2450
419	1772	2447
420	1776	2442
421	1780	2438
422	1785	2434
423	1789	2431
424	1794	2427
425	1799	2424
426	1803	2420
427	1808	2417
428	1814	2414
429	1819	2412
430	1824	2409
431	1830	2407
432	1836	2404
433	1840	2400
434	1845	2396
435	1849	2393
436	1854	2389
437	1859	2385
438	1863	2381
439	1868	2377
440	1872	2373
441	1877	2369
